id,title,company,skills,location,salary_min,salary_max,type,age_preference,experience_required,education_required,description,category,source,job_url,scraped_at,skills_source,salary_source,location_normalized,region,location_confidence,skills_list,cleaned_at
scraped_vietnamworks_algolia_00000,Phó Tổng Giám Đốc Phụ Trách Kinh Doanh (Hà Nội),Công Ty Cổ Phần Chứng Khoán Up,10|bat|cac|cao|cap|cau|chien|chinh|cho|chung|chuyen|co|cong|cua|doanh|dung|giam|gioi|gom|hang|hanh|hoac|hoach|hoat|hoc|ib|ke|khai|khi|kho|khoan|kinh|len|lien|linh|luoc|ly|mang|moi|muu|nam|ngan|nganh|nghiem|nghiep|phat|quan|san|tai|te|tham|the|thieu|thu|toan|toi|tong|tot|tri|trien|tro|trong|tu|ty|va|van|vi|vuc|xay|yeu|đai|đau|đieu|đo|đoc|đong,Hà Nội,4000,6000,full-time,any,0,high,"Tham mưu cho Tổng Giám đốc xây dựng chiến lược phát triển kinh doanh tổng thể của Công ty. Quản lý và điều hành các hoạt động kinh doanh chính gồm: Môi giới chứng khoán, Tư vấn đầu tư, Ngân hàng đầu tư (IB), Tự doanh . Xây dựng và triển khai kế hoạch doanh thu,... Yêu cầu: Tốt nghiệp Đại học trở lên chuyên ngành Tài chính, Ngân hàng, Chứng khoán, Kinh tế hoặc liên quan . Có tối thiểu 10 năm kinh nghiệm trong lĩnh vực chứng khoán/tài chính; trong đó 5 năm ở vị trí quản lý cấp cao . Có kinh nghiệm quản lý hoặc triển khai các mảng Môi...",it,VietnamWorks_Algolia,https://www.vietnamworks.com/viec-lam/pho-tong-giam-doc-phu-trach-kinh-doanh-ha-noi-2022850,2026-04-14T19:30:40.026614,original,original,hà nội,north,0.8,"['10', 'bat', 'cac', 'cao', 'cap', 'cau', 'chien', 'chinh', 'cho', 'chung', 'chuyen', 'co', 'cong', 'cua', 'doanh', 'dung', 'giam', 'gioi', 'gom', 'hang', 'hanh', 'hoac', 'hoach', 'hoat', 'hoc', 'ib', 'ke', 'khai', 'khi', 'kho', 'khoan', 'kinh', 'len', 'lien', 'linh', 'luoc', 'ly', 'mang', 'moi', 'muu', 'nam', 'ngan', 'nganh', 'nghiem', 'nghiep', 'phat', 'quan', 'san', 'tai', 'te', 'tham', 'the', 'thieu', 'thu', 'toan', 'toi', 'tong', 'tot', 'tri', 'trien', 'tro', 'trong', 'tu', 'ty', 'va', 'van', 'vi', 'vuc', 'xay', 'yeu', 'đai', 'đau', 'đieu', 'đo', 'đoc', 'đong']",2026-04-19T00:29:13.969259
scraped_vietnamworks_algolia_00001,Senior Poultry Nutritionist,CÔNG TY TNHH AB AGRI VIỆT NAM,17|30|ab|abav|able|advisor|agri|animal|as|be|cau|chi|chinh|city|commercial|consultant|contract|degree|digital|digital marketing|english|feed|field|fluent|formulation|fri|from|hands|ho|it|job|key|large|livestock|mac|may|medicine|mill|minh|mon|normal|nutrition|nutritional|nutritionist|of|on|partner|pattern|permanent|poultry|production|promote|responsibilities|role|san|scale|science|senior|shift|speak|support|tai|teams|technical|terms|the|title|to|trusted|university|veterinary|vietnam|well|with|within|working|xuat|yeu,Hồ Chí Minh,9600000,18000000,full-time,any,3,university,"The Role & Key Responsibilities Job Title: Senior Poultry Nutritionist Location: Ho Chi Minh City, Vietnam. Contract and shift pattern: Permanent contract and normal working time from Mon to Fri, 8:30 - 17:30. To support ABAV’s Technical & Commercial Teams in the technical field; to promote AB Agri as a trusted partner in terms of livestock feed... Yêu cầu: • University degree in Animal Science, Animal Nutrition or Veterinary Medicine • 7- 8 years’ experience in feed mill or within large scale poultry production with hands on nutrition / formulation responsibilities • 3 - 5 years’ experience as a technical consultant or nutritional advisor • Fluent in English to be able to speak English well;...",it,VietnamWorks_Algolia,https://www.vietnamworks.com/viec-lam/senior-poultry-nutritionist-2025948,2026-04-14T19:30:40.026776,original,original,hồ chí minh,south_east,0.8,"['17', '30', 'ab', 'abav', 'able', 'advisor', 'agri', 'animal', 'as', 'be', 'cau', 'chi', 'chinh', 'city', 'commercial', 'consultant', 'contract', 'degree', 'digital', 'digital marketing', 'english', 'feed', 'field', 'fluent', 'formulation', 'fri', 'from', 'hands', 'ho', 'it', 'job', 'key', 'large', 'livestock', 'mac', 'may', 'medicine', 'mill', 'minh', 'mon', 'normal', 'nutrition', 'nutritional', 'nutritionist', 'of', 'on', 'partner', 'pattern', 'permanent', 'poultry', 'production', 'promote', 'responsibilities', 'role', 'san', 'scale', 'science', 'senior', 'shift', 'speak', 'support', 'tai', 'teams', 'technical', 'terms', 'the', 'title', 'to', 'trusted', 'university', 'veterinary', 'vietnam', 'well', 'with', 'within', 'working', 'xuat', 'yeu']",2026-04-19T00:29:13.969672
scraped_vietnamworks_algolia_00002,Sales Admin Modern Trade Channel,Công Ty TNHH I.P. One (Việt Nam),accuracy|accurate|admin|advance|analytical|as|availability|between|by|careful|cau|check|chinh|communication|coordinate|copies|create|customer|date|delivery|dept|detail|digital|digital marketing|discuss|doanh|english|ensure|especially|familiar|fmcg|follow|for|fulfillment|good|hanh|industry|information|inventory|is|it|kho|kinh|lai|liaise|logistic|microsoft|microsoft excel|minimum|monitor|of|on|order|orders|organizational|oriented|original|phuc|plus|po|pricing|proactive|process|processing|proficient|receive|related|reporting|responsible|sales|sap|schedules|skills|strong|system|teamwork|the|timely|tool|tools|up|van|vu|with|xe|yeu,Hồ Chí Minh,9600000,18000000,full-time,any,1,high,"• Receive original or advance copies of customer PO. • Check PO date, pricing, and related information for accuracy. • Create, process, and monitor Sales Orders on sales tools system, ensure timely and accurate order processing. • Liaise between Sales and Logistic Dept., discuss and coordinate inventory availability and delivery schedules. • Follow up on order fulfillment and... Yêu cầu: • Minimum of 1 year of experience as a Sales Admin, experience in the FMCG industry is a plus. • Proficient in Microsoft Office (especially Excel). • Familiar with Sales tool and SAP system is a plus. • Strong analytical and reporting skills. • Strong organizational, detail-oriented, careful, responsible, and proactive. • Good communication by english and teamwork skills.",it,VietnamWorks_Algolia,https://www.vietnamworks.com/viec-lam/sales-admin-modern-trade-channel-2027407,2026-04-14T19:30:40.026917,original,original,hồ chí minh,south_east,0.8,"['accuracy', 'accurate', 'admin', 'advance', 'analytical', 'as', 'availability', 'between', 'by', 'careful', 'cau', 'check', 'chinh', 'communication', 'coordinate', 'copies', 'create', 'customer', 'date', 'delivery', 'dept', 'detail', 'digital', 'digital marketing', 'discuss', 'doanh', 'english', 'ensure', 'especially', 'familiar', 'fmcg', 'follow', 'for', 'fulfillment', 'good', 'hanh', 'industry', 'information', 'inventory', 'is', 'it', 'kho', 'kinh', 'lai', 'liaise', 'logistic', 'microsoft', 'microsoft excel', 'minimum', 'monitor', 'of', 'on', 'order', 'orders', 'organizational', 'oriented', 'original', 'phuc', 'plus', 'po', 'pricing', 'proactive', 'process', 'processing', 'proficient', 'receive', 'related', 'reporting', 'responsible', 'sales', 'sap', 'schedules', 'skills', 'strong', 'system', 'teamwork', 'the', 'timely', 'tool', 'tools', 'up', 'van', 'vu', 'with', 'xe', 'yeu']",2026-04-19T00:29:13.970084
scraped_vietnamworks_algolia_00003,Senior Data Scientist,CÔNG TY CỔ PHẦN VINSMART FUTURE,ability|activation|analyze|apply|as|bachelor|bat|build|campaigns|cau|causal|changes|competencies|conversion|data|degree|depth|design|develop|digital|digital marketing|doanh|drive|efficiency|english|experiments|for|git|growth|higher|impact|including|inference|is|it|key|kinh|knowledge|language|least|maintain|master|materials|measure|models|monetization|nosql|of|platforms|policy|preferred|problems|proficient|projects|propensity|published|python|quantitative|recommendation|research|retention|san|science|segmentation|skilled|sql|strong|studies|such|technical|tests|the|to|train|true|uplift|user|yeu|đong,Hồ Chí Minh,9600000,18000000,full-time,any,3,university,"• Develop and maintain quantitative models to drive user growth efficiency, including segmentation, propensity, and recommendation models for key problems such as retention, activation, conversion, and monetization. • Design and analyze A/B tests, uplift experiments, and causal inference studies to measure the true impact of marketing campaigns or policy changes. • Build and train uplift and... Yêu cầu: • Bachelor’s degree or higher; Master’s degree or published research is preferred. • In-depth knowledge of Data Platforms/Data Science. • Proficient in Python and SQL/NoSQL. • At least 3 years of experience in Data Science projects. • Strong ability to research and apply English-language materials. Technical Competencies • Proficient in Data Platforms and Data Science. • Skilled in Python, SQL/NoSQL, Git,...",it,VietnamWorks_Algolia,https://www.vietnamworks.com/viec-lam/senior-data-scientist-2027481,2026-04-14T19:30:40.027041,original,original,hồ chí minh,south_east,0.8,"['ability', 'activation', 'analyze', 'apply', 'as', 'bachelor', 'bat', 'build', 'campaigns', 'cau', 'causal', 'changes', 'competencies', 'conversion', 'data', 'degree', 'depth', 'design', 'develop', 'digital', 'digital marketing', 'doanh', 'drive', 'efficiency', 'english', 'experiments', 'for', 'git', 'growth', 'higher', 'impact', 'including', 'inference', 'is', 'it', 'key', 'kinh', 'knowledge', 'language', 'least', 'maintain', 'master', 'materials', 'measure', 'models', 'monetization', 'nosql', 'of', 'platforms', 'policy', 'preferred', 'problems', 'proficient', 'projects', 'propensity', 'published', 'python', 'quantitative', 'recommendation', 'research', 'retention', 'san', 'science', 'segmentation', 'skilled', 'sql', 'strong', 'studies', 'such', 'technical', 'tests', 'the', 'to', 'train', 'true', 'uplift', 'user', 'yeu', 'đong']",2026-04-19T00:29:13.970705
scraped_vietnamworks_algolia_00004,Legal Manager,"CÔNG TY CỔ PHẦN NGHIÊN CỨU, PHÁT TRIỂN VÀ ỨNG DỤNG ROBOT HÌNH NGƯỜI VINDYNAMICS",across|advise|alignment|are|assistive|bachelor|billions|both|build|cau|commercial|communication|companies|compliance|corporate|degree|digital|digital marketing|driven|employees|english|ensuring|excellent|families|for|framework|frameworks|help|home|international|is|it|join|key|knowledge|labor|law|laws|lawyer|legal|license|local|luat|manage|managing|markets|of|other|our|overall|overseas|ownership|people|practical|proven|recommend|required|responsibilities|responsibility|robots|roles|seeking|self|sense|set|setting|skills|standards|stellar|strong|structures|talented|team|that|the|to|understanding|up|verbal|vietnamese|vindynamics|we|will|with|world|written|yeu,Hà Nội,9200000,17250000,full-time,any,5,university,"At VinDynamics, we build home assistive robots that will help billions of people and families across the world. We are seeking talented and self-driven employees to join our stellar team. Key Responsibilities: • Set up and manage the overall legal and compliance framework for the company, ensuring alignment with both local and international standards. • Advise and recommend practical... Yêu cầu: • Bachelor’s degree in Law; Vietnamese Lawyer License is required • 5+ years of experience in legal roles • Proven experience in setting up or managing legal structures for overseas companies (U.S. or other markets). • Strong knowledge of Vietnamese corporate, commercial, and labor laws; understanding of international legal frameworks. • Excellent English communication skills (both written and verbal). • Strong sense of ownership, responsibility,...",it,VietnamWorks_Algolia,https://www.vietnamworks.com/viec-lam/legal-manager-1997981,2026-04-14T19:30:40.027159,original,original,hà nội,north,0.8,"['across', 'advise', 'alignment', 'are', 'assistive', 'bachelor', 'billions', 'both', 'build', 'cau', 'commercial', 'communication', 'companies', 'compliance', 'corporate', 'degree', 'digital', 'digital marketing', 'driven', 'employees', 'english', 'ensuring', 'excellent', 'families', 'for', 'framework', 'frameworks', 'help', 'home', 'international', 'is', 'it', 'join', 'key', 'knowledge', 'labor', 'law', 'laws', 'lawyer', 'legal', 'license', 'local', 'luat', 'manage', 'managing', 'markets', 'of', 'other', 'our', 'overall', 'overseas', 'ownership', 'people', 'practical', 'proven', 'recommend', 'required', 'responsibilities', 'responsibility', 'robots', 'roles', 'seeking', 'self', 'sense', 'set', 'setting', 'skills', 'standards', 'stellar', 'strong', 'structures', 'talented', 'team', 'that', 'the', 'to', 'understanding', 'up', 'verbal', 'vietnamese', 'vindynamics', 'we', 'will', 'with', 'world', 'written', 'yeu']",2026-04-19T00:29:13.971133
