mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.16251845359802247,0.016126252495306824,0.01083369255065918,0.0013620441675264348,0.9,0.5,0.0,80,3,4,0.05,0.5,0.9,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 80, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.9}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.5757575757575758,0.6190476190476191,0.6235764235764236,0.025379432010793592,39,0.9033333333333333,1.0,0.8375350140056023,1.0,0.6410256410256411,0.8763787976729154,0.13280880859015803
0.13189435005187988,0.014306791363850309,0.010402870178222657,0.0007804764417585976,0.75,1.0,0.5,80,8,3,0.1,0.5,0.85,"{'subsample': 0.75, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 80, 'min_child_weight': 8, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.85}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6190476190476191,0.6366300366300367,0.008791208791208803,8,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6410256410256411,0.636381228834059,0.002322206095791035
0.24240565299987793,0.016948927295821627,0.010033845901489258,0.0006309937666680567,0.9,3.0,0.5,150,5,5,0.05,0.0,0.75,"{'subsample': 0.9, 'reg_lambda': 3, 'reg_alpha': 0.5, 'n_estimators': 150, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.75}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6190476190476191,0.6366300366300367,0.008791208791208803,8,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6410256410256411,0.636381228834059,0.002322206095791035
0.20748367309570312,0.011369958617202436,0.009934663772583008,0.00025916443904073393,0.9,0.5,0.5,150,5,4,0.15,0.1,0.75,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 150, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.15, 'gamma': 0.1, 'colsample_bytree': 0.75}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6190476190476191,0.6366300366300367,0.008791208791208803,8,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6410256410256411,0.636381228834059,0.002322206095791035
0.2194507598876953,0.01200044897541775,0.009468841552734374,0.0003476136146088862,0.9,5.0,0.0,150,5,3,0.1,0.1,0.9,"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 150, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6190476190476191,0.6366300366300367,0.008791208791208803,8,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6410256410256411,0.636381228834059,0.002322206095791035
0.20040502548217773,0.005075409085596569,0.009623956680297852,0.00032667370012242925,0.75,0.5,0.1,150,8,3,0.05,0.1,0.85,"{'subsample': 0.75, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 150, 'min_child_weight': 8, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.85}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6190476190476191,0.6366300366300367,0.008791208791208803,8,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6410256410256411,0.636381228834059,0.002322206095791035
0.17061939239501953,0.07247862018664612,0.010369157791137696,0.0013554687965178173,0.85,1.0,0.1,100,8,4,0.15,0.0,0.85,"{'subsample': 0.85, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 8, 'max_depth': 4, 'learning_rate': 0.15, 'gamma': 0, 'colsample_bytree': 0.85}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6190476190476191,0.6366300366300367,0.008791208791208803,8,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6410256410256411,0.636381228834059,0.002322206095791035
0.3005670547485352,0.12038858227159895,0.010735321044921874,0.0009829837824135875,0.9,0.5,0.1,150,3,5,0.1,0.1,0.9,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 150, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.9}",1.0,0.6410256410256411,0.6410256410256411,0.5757575757575758,0.6190476190476191,0.6953712953712954,0.15416763179323217,2,1.0,1.0,1.0,1.0,0.8755555555555555,0.9751111111111112,0.04977777777777779
0.13785500526428224,0.012399372515226523,0.010606622695922852,0.0017043306032531887,0.85,0.5,0.0,80,5,4,0.05,0.5,0.75,"{'subsample': 0.85, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 80, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.75}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6190476190476191,0.6366300366300367,0.008791208791208803,8,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6410256410256411,0.636381228834059,0.002322206095791035
0.13207321166992186,0.008815234978220553,0.01010899543762207,0.0006022879048610095,0.9,0.5,0.0,80,3,4,0.15,0.5,0.85,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 80, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.15, 'gamma': 0.5, 'colsample_bytree': 0.85}",1.0,0.6410256410256411,0.6410256410256411,0.5757575757575758,0.6190476190476191,0.6953712953712954,0.15416763179323217,2,0.9561602418745275,1.0,0.9561602418745275,1.0,0.8755555555555555,0.9575752078609222,0.04545537063508879
