id,title,source,job_url,url_status,url_message
labor_timviec365_2058846,Tuyển dụng Nhân viên bảo vệ,TimViec365,https://timviec365.vn/tuyen-dung-nhan-vien-bao-ve-p2058846.html,working,OK (200)
labor_timviec365_2059349,"Nhân viên bảo vệ , lễ tân",TimViec365,https://timviec365.vn/nhan-vien-bao-ve-p2059349.html,working,OK (200)
labor_timviec365_2059368,Tuyển Tài xế lái xe nhân viên bảo vệ,TimViec365,https://timviec365.vn/tuyen-tai-xe-lai-xe-nhan-vien-bao-ve-p2059368.html,working,OK (200)
labor_timviec365_2059302,Nhân viên bảo vệ bãi xe,TimViec365,https://timviec365.vn/nhan-vien-bao-ve-bai-xe-p2059302.html,working,OK (200)
labor_timviec365_2059177,Tuyển nhân viên bảo vệ toà nhà,TimViec365,https://timviec365.vn/tuyen-nhan-vien-bao-ve-toa-nha-p2059177.html,working,OK (200)
labor_timviec365_2059622,nhân viên bảo vệ,TimViec365,https://timviec365.vn/nhan-vien-bao-ve-p2059622.html,working,OK (200)
labor_timviec365_2058962,Tuyển Bảo Vệ Nội Bộ,TimViec365,https://timviec365.vn/tuyen-bao-ve-noi-bo-p2058962.html,working,OK (200)
labor_timviec365_2058710,THÔNG BÁO TUYỂN DỤNG 01 ĐỘI TRƯỞNG ĐỘI BẢO VỆ,TimViec365,https://timviec365.vn/thong-bao-tuyen-dung-01-djoi-truong-djoi-bao-ve-p2058710.html,working,OK (200)
labor_timviec365_2058697,NHÂN VIÊN GIÁM SÁT DỊCH VỤ TÒA NHÀ,TimViec365,https://timviec365.vn/nhan-vien-giam-sat-dich-vu-toa-nha-p2058697.html,working,OK (200)
labor_timviec365_2058512,Tuyển Nhân viên An ninh,TimViec365,https://timviec365.vn/tuyen-nhan-vien-an-ninh-p2058512.html,working,OK (200)
labor_timviec365_2058126,Tuyển Nhân Viên An Ninh,TimViec365,https://timviec365.vn/tuyen-nhan-vien-an-ninh-p2058126.html,working,OK (200)
labor_timviec365_2057634,Nhân Viên Bảo Vệ Tại Cơ Sở Răng Hàm Mặt,TimViec365,https://timviec365.vn/nhan-vien-bao-ve-tai-co-so-rang-ham-mat-p2057634.html,working,OK (200)
labor_timviec365_2057144,Nhân viên bảo vệ,TimViec365,https://timviec365.vn/nhan-vien-bao-ve-p2057144.html,working,OK (200)
labor_timviec365_2056852,Nhân viên an ninh bệnh viện,TimViec365,https://timviec365.vn/nhan-vien-an-ninh-benh-vien-p2056852.html,working,OK (200)
labor_timviec365_2056652,NHÂN VIÊN BẢO VỆ,TimViec365,https://timviec365.vn/nhan-vien-bao-ve-p2056652.html,working,OK (200)
labor_timviec365_2056383,Đại học Văn Hiến cần tuyển bổ sung 5 bảo vệ nội bộ tại quận Tân Phú và quận 12,TimViec365,https://timviec365.vn/djai-hoc-van-hien-can-tuyen-bo-sung-5-bao-ve-noi-bo-tai-quan-tan-phu-va-quan-12-p2056383.html,working,OK (200)
labor_timviec365_2056442,NHÂN VIÊN BẢO VỆ - CA TRƯỞNG - ĐỘI TRƯỞNG BẢO VỆ,TimViec365,https://timviec365.vn/nhan-vien-bao-ve-ca-truong-djoi-truong-bao-ve-p2056442.html,working,OK (200)
